ZIPCODE,UnemploymentRate,EvictionsSince2017,EvictionRate,RentBurden,MedianRent2012,MedianRent2016,MedianRent2019,Change2012_2019,Change2016_2019,PctWith1.5OrMorePerRoom,WorkingPop,NumInConst,% In Construction,NumInManu,% In Manufacturing,%InTradeTransit,NumInTradeTransit,NumInIT,% In IT,NumInFinance,% In Finance,NumInSW,% In Social Work,NumInArt,% In Arts,ZIP
11201,0.06,178,0.010076992753623,27.9,2395,2987,2779,384,-208,3.1,30337.8084,4.88E+02,0.02,1.03E+03,0.03,0.08,2.46E+03,3.42E+03,0.11,4.66E+03,0.15,5.84E+03,0.19,2.21E+03,0.07,11201
11203,0.12,930,0.05642176788206,51.5,1600,2073,2177,577,104,1.4,51915.5712,2.66E+03,0.05,1.94E+03,0.04,0.16,8.20E+03,1.82E+03,0.04,5.32E+03,0.10,1.87E+04,0.36,2.23E+03,0.04,11203
11204,0.06,204,0.013734599070895,55.7,1641,2176,2093,452,-83,4.9,37994.112,2.18E+03,0.06,4.13E+03,0.11,0.18,6.94E+03,1.06E+03,0.03,4.53E+03,0.12,7.85E+03,0.21,3.01E+03,0.08,11204
11205,0.20,220,0.01778640148759,41.3,2149,2843,2697,548,-146,4.3,20222.6094,5.70E+02,0.03,1.23E+03,0.06,0.15,2.94E+03,1.44E+03,0.07,1.65E+03,0.08,4.93E+03,0.24,1.29E+03,0.06,11205
11206,0.19,406,0.014621146643619,41.4,1892,2679,2530,638,-149,4.9,32893.748,1.68E+03,0.05,4.35E+03,0.13,0.17,5.69E+03,8.42E+02,0.03,2.60E+03,0.08,6.51E+03,0.20,3.19E+03,0.10,11206
11207,0.18,1285,0.051814516129032,54.9,1621,2163,2256,635,93,2.3,45560.4464,2.08E+03,0.05,3.29E+03,0.07,0.19,8.80E+03,1.47E+03,0.03,3.39E+03,0.07,1.32E+04,0.29,2.31E+03,0.05,11207
11208,0.16,1294,0.054360611661906,51.2,1606,2111,2275,669,164,6.4,44698.212,2.32E+03,0.05,4.13E+03,0.09,0.21,9.32E+03,1.18E+03,0.03,3.20E+03,0.07,1.15E+04,0.26,3.22E+03,0.07,11208
11209,0.06,333,0.018227598664404,38.2,1680,2164,2101,421,-63,4.9,41401.152,1.98E+03,0.05,2.29E+03,0.06,0.15,6.01E+03,2.15E+03,0.05,6.86E+03,0.17,8.95E+03,0.22,2.95E+03,0.07,11209
11210,0.10,660,0.053393738370682,42.8,1587,2108,2062,475,-46,4.6,38724.422,1.46E+03,0.04,1.70E+03,0.04,0.15,5.99E+03,1.31E+03,0.03,4.21E+03,0.11,1.32E+04,0.34,1.64E+03,0.04,11210
11211,0.11,180,0.005471124620061,41.2,2255,2942,2796,541,-146,4.3,43463.4612,2.43E+03,0.06,5.32E+03,0.12,0.14,6.24E+03,2.79E+03,0.06,3.15E+03,0.07,8.23E+03,0.19,4.08E+03,0.09,11211
11212,0.20,1291,0.048162656220854,55.5,1580,2122,2145,565,23,2.3,43457.6583,2.13E+03,0.05,2.32E+03,0.05,0.16,6.97E+03,1.01E+03,0.02,3.74E+03,0.09,1.51E+04,0.35,2.71E+03,0.06,11212
11213,0.16,850,0.040238591175914,49.8,1703,2324,2323,620,-1,2.7,35481.568,1.59E+03,0.04,1.53E+03,0.04,0.16,5.79E+03,1.33E+03,0.04,3.42E+03,0.10,1.17E+04,0.33,2.03E+03,0.06,11213
11214,0.08,334,0.015677806984604,46.3,1620,2195,2091,471,-104,5,41973.5104,2.62E+03,0.06,4.13E+03,0.10,0.18,7.67E+03,1.61E+03,0.04,5.09E+03,0.12,8.20E+03,0.20,3.23E+03,0.08,11214
