ct2010,MedianRent2016,MedianRent2012,Change20162012,UnempRate2016,eviction-rate,eviction-filing-rate,rent-burden,poverty-rate,TotalEMployees,FoodServicePct,FinancialPct,EducationPct,SocialServPct,ConstructionPct,Shipping_Manuf
000501,1894,1886,8,5.9,0,1.48,24.8,4.33,2435,0.027104722792608,0.118685831622177,0.068993839835729,0.012731006160164,0,0.008624229979466
000700,2115,1871,244,3.2,0,2.09,23.8,1.18,2329,0.003005581794762,0.155002146844139,0.054100472305711,0.00686990124517,0.010734220695578,0.024044654358094
001300,2204,1707,497,2.8,0,0.79,27.4,1.53,994,0.006036217303823,0.144869215291751,0.117706237424547,0.032193158953722,0.019114688128773,0.006036217303823
003000,1423,1342,81,7.3,0,1.53,23.8,9.78,872,0,0.069954128440367,0.142201834862385,0.013761467889908,0.044724770642202,0.071100917431193
003700,2646,1862,784,3.9,0,2.52,27.1,4.32,1221,0.033579033579034,0.10974610974611,0.014742014742015,0.007371007371007,0,0
003800,1479,1490,-11,5.4,0,4.2,22,1.75,561,0.024955436720143,0.037433155080214,0.098039215686275,0,0.062388591800357,0.026737967914439
005201,520,494,26,8.3,0,1.01,29.3,15.05,720,0.034722222222222,0.122222222222222,0.0875,0.023611111111111,0.030555555555556,0
007500,2281,1835,446,5.4,0,0.59,19.8,1.28,3162,0.013282732447818,0.092030360531309,0.062302340290955,0.028462998102467,0.024351676154333,0.023402909550917
010400,1188,1093,95,6.9,0,0.77,42.4,30.75,2726,0.287234042553191,0.02494497432135,0.047688921496699,0.012839325018342,0.030080704328687,0.129126925898753
012901,2191,1919,272,3.6,0,1,32.5,12.25,1671,0.019748653500898,0.161579892280072,0.090963494913226,0.016157989228007,0,0.011370436864153
013400,1382,1190,192,9.1,0,1.75,28.4,4.79,2040,0.044607843137255,0.068627450980392,0.042156862745098,0.036274509803922,0.045588235294118,0.036274509803922
014800,1519,1568,-49,9.8,0,0.53,50,8.7,535,0.063551401869159,0.106542056074766,0.130841121495327,0.035514018691589,0.022429906542056,0.185046728971963
014900,1962,1828,134,7.8,0,1.32,25.1,4.62,3486,0.042742398164085,0.061101549053356,0.078026391279403,0.023522662076879,0.034423407917384,0.053356282271945
015500,2126,1971,155,4.9,0,1.4,22.8,0,2130,0.003755868544601,0.133802816901408,0.099530516431925,0.051173708920188,0,0.021596244131455
